speed,trial,target_angle_deg,target_angle_rad,elapsed_s,wz_rad_s
30,1,90.0,1.5707963267948966,2.9416685,0.5339814213582857
30,2,90.0,1.5707963267948966,3.096503199999999,0.507280705149892
30,3,90.0,1.5707963267948966,2.831275399999999,0.5548016723469914
30,4,90.0,1.5707963267948966,2.9767388999999973,0.5276903280952515
35,1,90.0,1.5707963267948966,2.061309099999999,0.7620382245413351
35,2,90.0,1.5707963267948966,2.1097800999999983,0.7445308289688095
35,3,90.0,1.5707963267948966,2.2910883999999996,0.6856114005879899
35,4,90.0,1.5707963267948966,1.7570329999999998,0.8940050225550099
40,1,90.0,1.5707963267948966,1.5626567999999992,1.005208774437802
40,2,90.0,1.5707963267948966,1.644303199999996,0.9552960346941491
40,3,90.0,1.5707963267948966,1.6155952999999954,0.9722709188340056
40,4,90.0,1.5707963267948966,1.4517450000000025,1.082005673720174
45,1,90.0,1.5707963267948966,1.2958816999999954,1.2121448484031392
45,2,90.0,1.5707963267948966,1.1396116999999961,1.3783610038356942
45,3,90.0,1.5707963267948966,1.4619603000000012,1.0744452683119339
45,4,90.0,1.5707963267948966,1.3863433,1.1330500365925933

